,Unnamed: 0,base_name,solvent_name,activator_name,nucleophile_name,base_smiles,solvent_smiles,activator_smiles,nucleophile_smiles,yield,nucleophile_id,1-Methylimidazole,"2,6-Lutidine",N-methylmorpholine,Diisopropylethylamine,THF,MeCN,DMF,PFTU,TCFH,HATU,PyBOP,BOP-Cl,TFFH,DPPCl,HOTU,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10
10,10,N-methylmorpholine,DMF,PFTU,4-amino-2-(trifluoromethyl)benzonitrile,CN1CCOCC1,CN(C)C=O,CN(C)C(=[O+]c1c(F)c(F)c(F)c(F)c1F)N(C)C.F[P-](F)(F)(F)(F)F,N#Cc1ccc(N)cc1C(F)(F)F,0.13,n1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
11,11,Diisopropylethylamine,DMF,PFTU,4-amino-2-(trifluoromethyl)benzonitrile,CCN(C(C)C)C(C)C,CN(C)C=O,CN(C)C(=[O+]c1c(F)c(F)c(F)c(F)c1F)N(C)C.F[P-](F)(F)(F)(F)F,N#Cc1ccc(N)cc1C(F)(F)F,1.49,n1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
12,12,1-Methylimidazole,THF,TCFH,4-amino-2-(trifluoromethyl)benzonitrile,Cn1ccnc1,C1CCOC1,CN(C)C(=[Cl+])N(C)C.F[P-](F)(F)(F)(F)F,N#Cc1ccc(N)cc1C(F)(F)F,25.81,n1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
13,13,"2,6-Lutidine",THF,TCFH,4-amino-2-(trifluoromethyl)benzonitrile,Cc1cccc(C)n1,C1CCOC1,CN(C)C(=[Cl+])N(C)C.F[P-](F)(F)(F)(F)F,N#Cc1ccc(N)cc1C(F)(F)F,35.53,n1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
14,14,N-methylmorpholine,THF,TCFH,4-amino-2-(trifluoromethyl)benzonitrile,CN1CCOCC1,C1CCOC1,CN(C)C(=[Cl+])N(C)C.F[P-](F)(F)(F)(F)F,N#Cc1ccc(N)cc1C(F)(F)F,48.76,n1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
15,15,Diisopropylethylamine,THF,TCFH,4-amino-2-(trifluoromethyl)benzonitrile,CCN(C(C)C)C(C)C,C1CCOC1,CN(C)C(=[Cl+])N(C)C.F[P-](F)(F)(F)(F)F,N#Cc1ccc(N)cc1C(F)(F)F,16.91,n1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
16,16,1-Methylimidazole,MeCN,TCFH,4-amino-2-(trifluoromethyl)benzonitrile,Cn1ccnc1,CC#N,CN(C)C(=[Cl+])N(C)C.F[P-](F)(F)(F)(F)F,N#Cc1ccc(N)cc1C(F)(F)F,10.75,n1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
17,17,"2,6-Lutidine",MeCN,TCFH,4-amino-2-(trifluoromethyl)benzonitrile,Cc1cccc(C)n1,CC#N,CN(C)C(=[Cl+])N(C)C.F[P-](F)(F)(F)(F)F,N#Cc1ccc(N)cc1C(F)(F)F,7.57,n1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
18,18,N-methylmorpholine,MeCN,TCFH,4-amino-2-(trifluoromethyl)benzonitrile,CN1CCOCC1,CC#N,CN(C)C(=[Cl+])N(C)C.F[P-](F)(F)(F)(F)F,N#Cc1ccc(N)cc1C(F)(F)F,52.6,n1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
19,19,Diisopropylethylamine,MeCN,TCFH,4-amino-2-(trifluoromethyl)benzonitrile,CCN(C(C)C)C(C)C,CC#N,CN(C)C(=[Cl+])N(C)C.F[P-](F)(F)(F)(F)F,N#Cc1ccc(N)cc1C(F)(F)F,16.73,n1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
20,20,1-Methylimidazole,DMF,TCFH,4-amino-2-(trifluoromethyl)benzonitrile,Cn1ccnc1,CN(C)C=O,CN(C)C(=[Cl+])N(C)C.F[P-](F)(F)(F)(F)F,N#Cc1ccc(N)cc1C(F)(F)F,39.21,n1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
21,21,"2,6-Lutidine",DMF,TCFH,4-amino-2-(trifluoromethyl)benzonitrile,Cc1cccc(C)n1,CN(C)C=O,CN(C)C(=[Cl+])N(C)C.F[P-](F)(F)(F)(F)F,N#Cc1ccc(N)cc1C(F)(F)F,13.19,n1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
22,22,N-methylmorpholine,DMF,TCFH,4-amino-2-(trifluoromethyl)benzonitrile,CN1CCOCC1,CN(C)C=O,CN(C)C(=[Cl+])N(C)C.F[P-](F)(F)(F)(F)F,N#Cc1ccc(N)cc1C(F)(F)F,9.95,n1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
23,23,Diisopropylethylamine,DMF,TCFH,4-amino-2-(trifluoromethyl)benzonitrile,CCN(C(C)C)C(C)C,CN(C)C=O,CN(C)C(=[Cl+])N(C)C.F[P-](F)(F)(F)(F)F,N#Cc1ccc(N)cc1C(F)(F)F,1.06,n1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
24,24,1-Methylimidazole,THF,HATU,4-amino-2-(trifluoromethyl)benzonitrile,Cn1ccnc1,C1CCOC1,CN(C)C(=[O+]n1nnc2cccnc21)N(C)C.F[P-](F)(F)(F)(F)F,N#Cc1ccc(N)cc1C(F)(F)F,2.62,n1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
25,25,"2,6-Lutidine",THF,HATU,4-amino-2-(trifluoromethyl)benzonitrile,Cc1cccc(C)n1,C1CCOC1,CN(C)C(=[O+]n1nnc2cccnc21)N(C)C.F[P-](F)(F)(F)(F)F,N#Cc1ccc(N)cc1C(F)(F)F,0.08,n1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
26,26,N-methylmorpholine,THF,HATU,4-amino-2-(trifluoromethyl)benzonitrile,CN1CCOCC1,C1CCOC1,CN(C)C(=[O+]n1nnc2cccnc21)N(C)C.F[P-](F)(F)(F)(F)F,N#Cc1ccc(N)cc1C(F)(F)F,0.58,n1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
27,27,Diisopropylethylamine,THF,HATU,4-amino-2-(trifluoromethyl)benzonitrile,CCN(C(C)C)C(C)C,C1CCOC1,CN(C)C(=[O+]n1nnc2cccnc21)N(C)C.F[P-](F)(F)(F)(F)F,N#Cc1ccc(N)cc1C(F)(F)F,2.0,n1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
28,28,1-Methylimidazole,MeCN,HATU,4-amino-2-(trifluoromethyl)benzonitrile,Cn1ccnc1,CC#N,CN(C)C(=[O+]n1nnc2cccnc21)N(C)C.F[P-](F)(F)(F)(F)F,N#Cc1ccc(N)cc1C(F)(F)F,4.15,n1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
29,29,"2,6-Lutidine",MeCN,HATU,4-amino-2-(trifluoromethyl)benzonitrile,Cc1cccc(C)n1,CC#N,CN(C)C(=[O+]n1nnc2cccnc21)N(C)C.F[P-](F)(F)(F)(F)F,N#Cc1ccc(N)cc1C(F)(F)F,0.65,n1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
30,30,N-methylmorpholine,MeCN,HATU,4-amino-2-(trifluoromethyl)benzonitrile,CN1CCOCC1,CC#N,CN(C)C(=[O+]n1nnc2cccnc21)N(C)C.F[P-](F)(F)(F)(F)F,N#Cc1ccc(N)cc1C(F)(F)F,2.56,n1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
31,31,Diisopropylethylamine,MeCN,HATU,4-amino-2-(trifluoromethyl)benzonitrile,CCN(C(C)C)C(C)C,CC#N,CN(C)C(=[O+]n1nnc2cccnc21)N(C)C.F[P-](F)(F)(F)(F)F,N#Cc1ccc(N)cc1C(F)(F)F,28.49,n1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
32,32,1-Methylimidazole,DMF,HATU,4-amino-2-(trifluoromethyl)benzonitrile,Cn1ccnc1,CN(C)C=O,CN(C)C(=[O+]n1nnc2cccnc21)N(C)C.F[P-](F)(F)(F)(F)F,N#Cc1ccc(N)cc1C(F)(F)F,2.81,n1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
33,33,"2,6-Lutidine",DMF,HATU,4-amino-2-(trifluoromethyl)benzonitrile,Cc1cccc(C)n1,CN(C)C=O,CN(C)C(=[O+]n1nnc2cccnc21)N(C)C.F[P-](F)(F)(F)(F)F,N#Cc1ccc(N)cc1C(F)(F)F,0.93,n1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
34,34,N-methylmorpholine,DMF,HATU,4-amino-2-(trifluoromethyl)benzonitrile,CN1CCOCC1,CN(C)C=O,CN(C)C(=[O+]n1nnc2cccnc21)N(C)C.F[P-](F)(F)(F)(F)F,N#Cc1ccc(N)cc1C(F)(F)F,1.99,n1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
35,35,Diisopropylethylamine,DMF,HATU,4-amino-2-(trifluoromethyl)benzonitrile,CCN(C(C)C)C(C)C,CN(C)C=O,CN(C)C(=[O+]n1nnc2cccnc21)N(C)C.F[P-](F)(F)(F)(F)F,N#Cc1ccc(N)cc1C(F)(F)F,23.66,n1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
36,36,1-Methylimidazole,THF,PyBOP,4-amino-2-(trifluoromethyl)benzonitrile,Cn1ccnc1,C1CCOC1,F[P-](F)(F)(F)(F)F.c1ccc2c(c1)nnn2O[P+](N1CCCC1)(N1CCCC1)N1CCCC1,N#Cc1ccc(N)cc1C(F)(F)F,2.24,n1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
37,37,"2,6-Lutidine",THF,PyBOP,4-amino-2-(trifluoromethyl)benzonitrile,Cc1cccc(C)n1,C1CCOC1,F[P-](F)(F)(F)(F)F.c1ccc2c(c1)nnn2O[P+](N1CCCC1)(N1CCCC1)N1CCCC1,N#Cc1ccc(N)cc1C(F)(F)F,15.61,n1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
38,38,N-methylmorpholine,THF,PyBOP,4-amino-2-(trifluoromethyl)benzonitrile,CN1CCOCC1,C1CCOC1,F[P-](F)(F)(F)(F)F.c1ccc2c(c1)nnn2O[P+](N1CCCC1)(N1CCCC1)N1CCCC1,N#Cc1ccc(N)cc1C(F)(F)F,8.56,n1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
39,39,Diisopropylethylamine,THF,PyBOP,4-amino-2-(trifluoromethyl)benzonitrile,CCN(C(C)C)C(C)C,C1CCOC1,F[P-](F)(F)(F)(F)F.c1ccc2c(c1)nnn2O[P+](N1CCCC1)(N1CCCC1)N1CCCC1,N#Cc1ccc(N)cc1C(F)(F)F,0.86,n1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
40,40,1-Methylimidazole,MeCN,PyBOP,4-amino-2-(trifluoromethyl)benzonitrile,Cn1ccnc1,CC#N,F[P-](F)(F)(F)(F)F.c1ccc2c(c1)nnn2O[P+](N1CCCC1)(N1CCCC1)N1CCCC1,N#Cc1ccc(N)cc1C(F)(F)F,1.84,n1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
41,41,"2,6-Lutidine",MeCN,PyBOP,4-amino-2-(trifluoromethyl)benzonitrile,Cc1cccc(C)n1,CC#N,F[P-](F)(F)(F)(F)F.c1ccc2c(c1)nnn2O[P+](N1CCCC1)(N1CCCC1)N1CCCC1,N#Cc1ccc(N)cc1C(F)(F)F,11.84,n1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
42,42,N-methylmorpholine,MeCN,PyBOP,4-amino-2-(trifluoromethyl)benzonitrile,CN1CCOCC1,CC#N,F[P-](F)(F)(F)(F)F.c1ccc2c(c1)nnn2O[P+](N1CCCC1)(N1CCCC1)N1CCCC1,N#Cc1ccc(N)cc1C(F)(F)F,0.43,n1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
43,43,Diisopropylethylamine,MeCN,PyBOP,4-amino-2-(trifluoromethyl)benzonitrile,CCN(C(C)C)C(C)C,CC#N,F[P-](F)(F)(F)(F)F.c1ccc2c(c1)nnn2O[P+](N1CCCC1)(N1CCCC1)N1CCCC1,N#Cc1ccc(N)cc1C(F)(F)F,13.37,n1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
44,44,1-Methylimidazole,DMF,PyBOP,4-amino-2-(trifluoromethyl)benzonitrile,Cn1ccnc1,CN(C)C=O,F[P-](F)(F)(F)(F)F.c1ccc2c(c1)nnn2O[P+](N1CCCC1)(N1CCCC1)N1CCCC1,N#Cc1ccc(N)cc1C(F)(F)F,1.88,n1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
45,45,"2,6-Lutidine",DMF,PyBOP,4-amino-2-(trifluoromethyl)benzonitrile,Cc1cccc(C)n1,CN(C)C=O,F[P-](F)(F)(F)(F)F.c1ccc2c(c1)nnn2O[P+](N1CCCC1)(N1CCCC1)N1CCCC1,N#Cc1ccc(N)cc1C(F)(F)F,0.21,n1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
46,46,N-methylmorpholine,DMF,PyBOP,4-amino-2-(trifluoromethyl)benzonitrile,CN1CCOCC1,CN(C)C=O,F[P-](F)(F)(F)(F)F.c1ccc2c(c1)nnn2O[P+](N1CCCC1)(N1CCCC1)N1CCCC1,N#Cc1ccc(N)cc1C(F)(F)F,0.53,n1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
47,47,Diisopropylethylamine,DMF,PyBOP,4-amino-2-(trifluoromethyl)benzonitrile,CCN(C(C)C)C(C)C,CN(C)C=O,F[P-](F)(F)(F)(F)F.c1ccc2c(c1)nnn2O[P+](N1CCCC1)(N1CCCC1)N1CCCC1,N#Cc1ccc(N)cc1C(F)(F)F,9.32,n1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
48,48,1-Methylimidazole,THF,BOP-Cl,4-amino-2-(trifluoromethyl)benzonitrile,Cn1ccnc1,C1CCOC1,O=C1OCCN1P(=O)(Cl)N1CCOC1=O,N#Cc1ccc(N)cc1C(F)(F)F,42.02,n1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
49,49,"2,6-Lutidine",THF,BOP-Cl,4-amino-2-(trifluoromethyl)benzonitrile,Cc1cccc(C)n1,C1CCOC1,O=C1OCCN1P(=O)(Cl)N1CCOC1=O,N#Cc1ccc(N)cc1C(F)(F)F,2.48,n1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
50,50,N-methylmorpholine,THF,BOP-Cl,4-amino-2-(trifluoromethyl)benzonitrile,CN1CCOCC1,C1CCOC1,O=C1OCCN1P(=O)(Cl)N1CCOC1=O,N#Cc1ccc(N)cc1C(F)(F)F,38.36,n1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
51,51,Diisopropylethylamine,THF,BOP-Cl,4-amino-2-(trifluoromethyl)benzonitrile,CCN(C(C)C)C(C)C,C1CCOC1,O=C1OCCN1P(=O)(Cl)N1CCOC1=O,N#Cc1ccc(N)cc1C(F)(F)F,35.27,n1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
52,52,1-Methylimidazole,MeCN,BOP-Cl,4-amino-2-(trifluoromethyl)benzonitrile,Cn1ccnc1,CC#N,O=C1OCCN1P(=O)(Cl)N1CCOC1=O,N#Cc1ccc(N)cc1C(F)(F)F,28.19,n1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
53,53,"2,6-Lutidine",MeCN,BOP-Cl,4-amino-2-(trifluoromethyl)benzonitrile,Cc1cccc(C)n1,CC#N,O=C1OCCN1P(=O)(Cl)N1CCOC1=O,N#Cc1ccc(N)cc1C(F)(F)F,7.24,n1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
54,54,N-methylmorpholine,MeCN,BOP-Cl,4-amino-2-(trifluoromethyl)benzonitrile,CN1CCOCC1,CC#N,O=C1OCCN1P(=O)(Cl)N1CCOC1=O,N#Cc1ccc(N)cc1C(F)(F)F,44.47,n1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
55,55,Diisopropylethylamine,MeCN,BOP-Cl,4-amino-2-(trifluoromethyl)benzonitrile,CCN(C(C)C)C(C)C,CC#N,O=C1OCCN1P(=O)(Cl)N1CCOC1=O,N#Cc1ccc(N)cc1C(F)(F)F,34.12,n1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
56,56,1-Methylimidazole,DMF,BOP-Cl,4-amino-2-(trifluoromethyl)benzonitrile,Cn1ccnc1,CN(C)C=O,O=C1OCCN1P(=O)(Cl)N1CCOC1=O,N#Cc1ccc(N)cc1C(F)(F)F,35.54,n1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
57,57,"2,6-Lutidine",DMF,BOP-Cl,4-amino-2-(trifluoromethyl)benzonitrile,Cc1cccc(C)n1,CN(C)C=O,O=C1OCCN1P(=O)(Cl)N1CCOC1=O,N#Cc1ccc(N)cc1C(F)(F)F,47.42,n1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
58,58,N-methylmorpholine,DMF,BOP-Cl,4-amino-2-(trifluoromethyl)benzonitrile,CN1CCOCC1,CN(C)C=O,O=C1OCCN1P(=O)(Cl)N1CCOC1=O,N#Cc1ccc(N)cc1C(F)(F)F,15.55,n1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
59,59,Diisopropylethylamine,DMF,BOP-Cl,4-amino-2-(trifluoromethyl)benzonitrile,CCN(C(C)C)C(C)C,CN(C)C=O,O=C1OCCN1P(=O)(Cl)N1CCOC1=O,N#Cc1ccc(N)cc1C(F)(F)F,6.26,n1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
60,60,1-Methylimidazole,THF,TFFH,4-amino-2-(trifluoromethyl)benzonitrile,Cn1ccnc1,C1CCOC1,CN(C)C(=[F+])N(C)C.F[P-](F)(F)(F)(F)F,N#Cc1ccc(N)cc1C(F)(F)F,22.9,n1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
61,61,"2,6-Lutidine",THF,TFFH,4-amino-2-(trifluoromethyl)benzonitrile,Cc1cccc(C)n1,C1CCOC1,CN(C)C(=[F+])N(C)C.F[P-](F)(F)(F)(F)F,N#Cc1ccc(N)cc1C(F)(F)F,0.45,n1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
62,62,N-methylmorpholine,THF,TFFH,4-amino-2-(trifluoromethyl)benzonitrile,CN1CCOCC1,C1CCOC1,CN(C)C(=[F+])N(C)C.F[P-](F)(F)(F)(F)F,N#Cc1ccc(N)cc1C(F)(F)F,3.67,n1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
63,63,Diisopropylethylamine,THF,TFFH,4-amino-2-(trifluoromethyl)benzonitrile,CCN(C(C)C)C(C)C,C1CCOC1,CN(C)C(=[F+])N(C)C.F[P-](F)(F)(F)(F)F,N#Cc1ccc(N)cc1C(F)(F)F,9.46,n1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
64,64,1-Methylimidazole,MeCN,TFFH,4-amino-2-(trifluoromethyl)benzonitrile,Cn1ccnc1,CC#N,CN(C)C(=[F+])N(C)C.F[P-](F)(F)(F)(F)F,N#Cc1ccc(N)cc1C(F)(F)F,25.31,n1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
65,65,"2,6-Lutidine",MeCN,TFFH,4-amino-2-(trifluoromethyl)benzonitrile,Cc1cccc(C)n1,CC#N,CN(C)C(=[F+])N(C)C.F[P-](F)(F)(F)(F)F,N#Cc1ccc(N)cc1C(F)(F)F,2.04,n1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
66,66,N-methylmorpholine,MeCN,TFFH,4-amino-2-(trifluoromethyl)benzonitrile,CN1CCOCC1,CC#N,CN(C)C(=[F+])N(C)C.F[P-](F)(F)(F)(F)F,N#Cc1ccc(N)cc1C(F)(F)F,8.58,n1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
67,67,Diisopropylethylamine,MeCN,TFFH,4-amino-2-(trifluoromethyl)benzonitrile,CCN(C(C)C)C(C)C,CC#N,CN(C)C(=[F+])N(C)C.F[P-](F)(F)(F)(F)F,N#Cc1ccc(N)cc1C(F)(F)F,15.37,n1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
68,68,1-Methylimidazole,DMF,TFFH,4-amino-2-(trifluoromethyl)benzonitrile,Cn1ccnc1,CN(C)C=O,CN(C)C(=[F+])N(C)C.F[P-](F)(F)(F)(F)F,N#Cc1ccc(N)cc1C(F)(F)F,11.51,n1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
69,69,"2,6-Lutidine",DMF,TFFH,4-amino-2-(trifluoromethyl)benzonitrile,Cc1cccc(C)n1,CN(C)C=O,CN(C)C(=[F+])N(C)C.F[P-](F)(F)(F)(F)F,N#Cc1ccc(N)cc1C(F)(F)F,2.1,n1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
