,Unnamed: 0,base_name,solvent_name,activator_name,nucleophile_name,base_smiles,solvent_smiles,activator_smiles,nucleophile_smiles,yield,nucleophile_id,1-Methylimidazole,"2,6-Lutidine",N-methylmorpholine,Diisopropylethylamine,THF,MeCN,DMF,PFTU,TCFH,HATU,PyBOP,BOP-Cl,TFFH,DPPCl,HOTU,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10
769,769,"2,6-Lutidine",THF,PFTU,6-chloropyridazin-3-amine,Cc1cccc(C)n1,C1CCOC1,CN(C)C(=[O+]c1c(F)c(F)c(F)c(F)c1F)N(C)C.F[P-](F)(F)(F)(F)F,N=c1ccc(Cl)n[nH]1,1.98,n9,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
560,560,1-Methylimidazole,DMF,DPPCl,2-methyl-4-nitroaniline,Cn1ccnc1,CN(C)C=O,O=P(Cl)(c1ccccc1)c1ccccc1,Cc1cc([N+](=O)[O-])ccc1N,2.67,n6,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
197,197,"2,6-Lutidine",MeCN,PFTU,"1,3-diphenyl-1H-pyrazol-5-amine",Cc1cccc(C)n1,CC#N,CN(C)C(=[O+]c1c(F)c(F)c(F)c(F)c1F)N(C)C.F[P-](F)(F)(F)(F)F,Nc1cc(-c2ccccc2)nn1-c1ccccc1,0.71,n3,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
351,351,Diisopropylethylamine,THF,TFFH,"2-bromo-4,6-dimethylaniline",CCN(C(C)C)C(C)C,C1CCOC1,CN(C)C(=[F+])N(C)C.F[P-](F)(F)(F)(F)F,Cc1cc(C)c(N)c(Br)c1,19.54,n4,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
365,365,"2,6-Lutidine",MeCN,DPPCl,"2-bromo-4,6-dimethylaniline",Cc1cccc(C)n1,CC#N,O=P(Cl)(c1ccccc1)c1ccccc1,Cc1cc(C)c(N)c(Br)c1,6.79,n4,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
445,445,"2,6-Lutidine",THF,TFFH,3-amino-4-chlorobenzonitrile,Cc1cccc(C)n1,C1CCOC1,CN(C)C(=[F+])N(C)C.F[P-](F)(F)(F)(F)F,N#Cc1ccc(Cl)c(N)c1,1.16,n5,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
436,436,1-Methylimidazole,MeCN,BOP-Cl,3-amino-4-chlorobenzonitrile,Cn1ccnc1,CC#N,O=C1OCCN1P(=O)(Cl)N1CCOC1=O,N#Cc1ccc(Cl)c(N)c1,8.4,n5,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
608,608,1-Methylimidazole,DMF,HATU,6-methylquinolin-5-amine,Cn1ccnc1,CN(C)C=O,CN(C)C(=[O+]n1nnc2cccnc21)N(C)C.F[P-](F)(F)(F)(F)F,Cc1ccc2ncccc2c1N,55.37,n7,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
507,507,Diisopropylethylamine,THF,HATU,2-methyl-4-nitroaniline,CCN(C(C)C)C(C)C,C1CCOC1,CN(C)C(=[O+]n1nnc2cccnc21)N(C)C.F[P-](F)(F)(F)(F)F,Cc1cc([N+](=O)[O-])ccc1N,3.54,n6,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
593,593,"2,6-Lutidine",MeCN,TCFH,6-methylquinolin-5-amine,Cc1cccc(C)n1,CC#N,CN(C)C(=[Cl+])N(C)C.F[P-](F)(F)(F)(F)F,Cc1ccc2ncccc2c1N,35.64,n7,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
627,627,Diisopropylethylamine,THF,BOP-Cl,6-methylquinolin-5-amine,CCN(C(C)C)C(C)C,C1CCOC1,O=C1OCCN1P(=O)(Cl)N1CCOC1=O,Cc1ccc2ncccc2c1N,62.88,n7,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
857,857,"2,6-Lutidine",MeCN,HOTU,6-chloropyridazin-3-amine,Cc1cccc(C)n1,CC#N,CCOC(=O)C(C#N)=N[O+]=C(N(C)C)N(C)C.F[P-](F)(F)(F)(F)F,N=c1ccc(Cl)n[nH]1,13.22,n9,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
819,819,Diisopropylethylamine,THF,BOP-Cl,6-chloropyridazin-3-amine,CCN(C(C)C)C(C)C,C1CCOC1,O=C1OCCN1P(=O)(Cl)N1CCOC1=O,N=c1ccc(Cl)n[nH]1,37.23,n9,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
146,146,N-methylmorpholine,THF,BOP-Cl,1-(4-aminophenyl)-N-methylmethanesulfonamide,CN1CCOCC1,C1CCOC1,O=C1OCCN1P(=O)(Cl)N1CCOC1=O,CNS(=O)(=O)Cc1ccc(N)cc1,29.45,n2,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
269,269,"2,6-Lutidine",MeCN,DPPCl,"1,3-diphenyl-1H-pyrazol-5-amine",Cc1cccc(C)n1,CC#N,O=P(Cl)(c1ccccc1)c1ccccc1,Nc1cc(-c2ccccc2)nn1-c1ccccc1,34.42,n3,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
